Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
O que é patrimônio líquido de um fundo?,"[
  {""title"": ""Definição"", ""content"": ""Liquidez imediata representa a capacidade de transformar um investimento em dinheiro de forma rápida, geralmente em um dia útil.""},
  {""title"": ""Tributação"", ""content"": ""Aplicações em renda fixa com liquidez imediata seguem a tabela regressiva de 22,5% a 15%.""}
]
","ativos, cota, fundo, fundos, líquido, patrimônio, valor total",,,"ativos, base patrimonial, cota, fundos, recursos do fundo, valor consolidado, valor total",,,
O que é rentabilidade nominal e real?,"[
  {""title"": ""Definição"", ""content"": ""Taxa de juros nominal é aquela apresentada sem considerar a inflação. Já a taxa real é a que desconta os efeitos da inflação, mostrando o ganho efetivo do investidor.""},
  {""title"": ""Tributação"", ""content"": ""A tributação ocorre sobre a rentabilidade nominal, variando de 15% a 22,5%.""}
]
","inflação, nominal, real, rentabilidade, rentabilidade real, retorno",,,"ganho ajustado, ganho bruto, inflação, rentabilidade efetiva, rentabilidade real, retorno",,,
O que é correlação entre ativos?,"[
  {""title"": ""Definição"", ""content"": ""Correlação é a medida estatística que mostra a relação de movimento entre dois ativos, indicando se eles tendem a subir ou cair juntos, ou em sentidos opostos.""},
  {""title"": ""Tributação"", ""content"": ""Não há tributação direta; o imposto incide apenas sobre os ganhos obtidos.""}
]
","ativos, correlação, diversificação, entre, risco",,,"associação estatística, diversificação, interdependência, risco, saldo, vínculo de mercado",,,
O que é capitalização?,"[
  {""title"": ""Definição"", ""content"": ""Capitalização é o processo de acumulação de rendimentos ou juros ao longo do tempo, que são incorporados ao capital inicial e passam também a render.""},
  {""title"": ""Tributação"", ""content"": ""Incidência de 15% a 22,5% sobre os rendimentos acumulados.""}
]
","capitalização, crescimento, juros compostos, reinvestimento",,,"acumulação, crescimento, efeito bola de neve, expansão patrimonial, juros compostos, reinvestimento",,,
O que é duration em renda fixa?,"[
  {""title"": ""Definição"", ""content"": ""Duration é um indicador que mede a sensibilidade de um título de renda fixa às variações nas taxas de juros, sendo usado para avaliar o risco de mercado.""},
  {""title"": ""Tributação"", ""content"": ""Não há tributação sobre o índice em si, apenas sobre os ganhos do investimento.""}
]
","duration, fixa, juros, prazos, renda, sensibilidade",,,"custo financeiro, indicador de risco, juros, prazo médio, prazos, sensibilidade, tempo de retorno",,,
O que é margem de garantia?,"[
  {""title"": ""Definição"", ""content"": ""Margem de garantia é um depósito em dinheiro ou ativos que o investidor oferece para realizar operações com derivativos, funcionando como garantia contra prejuízos.""},
  {""title"": ""Tributação"", ""content"": ""Os ganhos nas operações realizadas com derivativos são tributados em 15%.""}
]
","bolsa, contratos futuros, derivativos, margem garantia, risco",,,"avalista, bolsa, colateral, contratos futuros, depósito de segurança, derivativos, exigência financeira, margem garantia, risco",,,
O que é spread bancário?,"[
  {""title"": ""Definição"", ""content"": ""Spread é a diferença entre a taxa de compra e a taxa de venda de um ativo ou operação financeira, representando o ganho do intermediário.""},
  {""title"": ""Tributação"", ""content"": ""Não há tributação direta sobre o spread, mas sobre os ganhos da operação.""}
]
","bancário, diferença taxas, spread",,,"custo de crédito, diferencial de juros, diferença taxas, margem financeira",,,
O que é governança corporativa?,"[
  {""title"": ""Definição"", ""content"": ""Governança corporativa é o conjunto de práticas e regras que orientam a administração de uma empresa, buscando transparência, equidade e responsabilidade.""},
  {""title"": ""Tributação"", ""content"": ""Não é tributada; os impostos recaem sobre dividendos e rendimentos distribuídos.""}
]
","corporativa, gestão, governança, mercado acionário, transparência",,,"boas práticas, compliance, gestão, gestão empresarial, mercado acionário, transparência",,,
Veloprime - DARF Exterior,"Mudança Legal: A partir de 2024, a Lei nº

14.754/23 alterou o pagamento do DARF para investimentos no exterior, passando de mensal para anual, devido à nova Lei das Offshores, aplicável na entrega da declaração.

A DARF mensal permanece apenas para investimentos no Brasil.

Atualização Calculadora: A Calculadora de DARF foi ajustada para refletir essa regra.

 Plano Basic não suporta mais a Calculadora de DARF para exterior, limitada à DARF do mês anterior.

 Plano Premium continua disponível para acompanhar operações no exterior e gerar relatórios anuais.","OFFSHORE, darf, exterior, veloprime",,,offshore,,,
O que é LCI?,"[
  {""title"": ""Definição"", ""content"": ""LCI (Letra de Crédito Imobiliário) é um título de renda fixa emitido por bancos para financiar o setor imobiliário, isento de imposto para pessoa física.""},
  {""title"": ""Tributação"", ""content"": ""Isenta de imposto de renda para pessoas físicas.""}
]
","banco emissor, lci, letra crédito imobiliário",,,"banco emissor, investimento isento, letra crédito imobiliário, papel bancário, título imobiliário",,,
O que é LCA?,"[
  {""title"": ""Definição"", ""content"": ""LCA (Letra de Crédito do Agronegócio) é um título de renda fixa emitido por bancos para financiar o agronegócio, também isento de imposto para pessoa física.""},
  {""title"": ""Tributação"", ""content"": ""Isenta de imposto de renda para pessoas físicas.""}
]
","banco emissor, isenção ir, lca, letra crédito agronegócio",,,"banco emissor, investimento isento, isenção ir, letra crédito agronegócio, papel do agronegócio, título agrícola",,,
O que é CDB?,"[
  {""title"": ""Definição"", ""content"": ""CDB (Certificado de Depósito Bancário) é um título de renda fixa emitido por bancos para captar recursos, oferecendo remuneração em juros prefixados ou pós-fixados.""},
  {""title"": ""Tributação"", ""content"": ""Incidência de 15% a 22,5% sobre os rendimentos, conforme o prazo.""}
]
","cdb, certificado depósito bancário, inflação",,,"aplicação em banco, certificado depósito bancário, inflação, investimento tributado, título bancário",,,
Veloprime - Tributação Apostas,"Cálculo Tributação: A receita é somada mensalmente, com tributação baseada no valor total:

 Até R$

2.259,20: isento

 De R$

2.259,21 a R$

2.826,65: 7,5%

 De R$

2.826,66 a R$

3.751,05: 15%

 De R$

3.751,06 a R$

4.664,68: 22,5%

 Acima de R$

4.664,68: 27,5%.

Regulamentação: A Lei

14.790/2023 torna obrigatório informar à Receita Federal ganhos de apostas esportivas, cassinos online, loterias e jogos como ""tigrinho"".

Declaração: Prêmios devem ser declarados em ""Rendimentos Sujeitos à Tributação Exclusiva ou Definitiva"", incluindo fonte pagadora, CNPJ, valor do prêmio e, se do exterior, em campo separado.","Lei 14.790/2023, exterior, isenção, loterias, receita, renda variável",,,"exterior, isenção, lei 14.790/2023, loterias, receita, renda variável",,,
O que é Tesouro Direto?,"[
  {""title"": ""Definição"", ""content"": ""Tesouro Direto é um programa do governo federal que permite investir em títulos públicos, com opções prefixadas, atreladas à Selic ou ao IPCA, oferecendo liquidez e segurança.""},
  {""title"": ""Tributação"", ""content"": ""Renda fixa: 15% a 22,5% sobre rendimentos, pagos via IR no resgate ou DARF, conforme o prazo do título.""}
]
","direto, governo federal, investimento seguro, plataforma online, tesouro, títulos públicos",,,"aplicação governamental, governo federal, investimento seguro, plataforma online, programa tesouro, título nacional, títulos públicos",,,
O que é Tesouro Selic?,"[
  {""title"": ""Definição"", ""content"": ""Tesouro Selic é um título público atrelado à taxa básica de juros da economia, indicado para reserva de emergência por ter liquidez e baixo risco.""},
  {""title"": ""Tributação"", ""content"": ""Tributação regressiva de 22,5% a 15% sobre os rendimentos, conforme prazo.""}
]
","selic, tesouro",,,"aplicação líquida, investimento seguro, título selic",,,
O que é Tesouro IPCA+?,"[
  {""title"": ""Definição"", ""content"": ""Tesouro IPCA+ é um título público que paga uma taxa de juros fixa mais a variação da inflação, garantindo ganho real ao investidor.""},
  {""title"": ""Tributação"", ""content"": ""Tributação regressiva de 15% a 22,5% sobre o ganho real.""}
]
","ipca, tesouro",,,"investimento real, papel indexado, título ipca",,,
O que é Tesouro Prefixado?,"[
  {""title"": ""Definição"", ""content"": ""Tesouro Prefixado é um título público que paga uma taxa de juros fixa definida no momento da compra, permitindo saber exatamente o valor a receber no vencimento.""},
  {""title"": ""Tributação"", ""content"": ""Tributação regressiva de 15% a 22,5% sobre os rendimentos.""}
]
","prefixado, tesouro",,,"investimento previsível, papel de taxa fixa, título prefixado",,,
O que é IPCA?,"[
  {""title"": ""Definição"", ""content"": ""O IPCA (Índice de Preços ao Consumidor Amplo) é o indicador oficial da inflação no Brasil, calculado pelo IBGE. Mede a variação média dos preços de um conjunto de bens e serviços consumidos pelas famílias.""},
  {""title"": ""Tributação"", ""content"": ""O índice em si não é tributado; a incidência ocorre nos ganhos de títulos atrelados a ele, variando de 15% a 22,5% conforme o prazo da aplicação.""}
]
",ipca,,,"indicador econômico, índice de inflação, índice oficial de preços",,,
Ainda temos parceria com a XP?,"Status: Nossa parceria com a XP Investimentos foi encerrada no início de 2025. Não temos mais acesso à base de dados da corretora. Ação: Se os ativos do cliente não estão atualizados, verifique no Octadesk se a origem é realmente a XP.","Octadesk, ainda, ativos, encerramento, integração, parceria, temos",,,"Octadesk, ativos, encerramento, integração, octadesk",,,
Quais corretoras parceiras a Veloprime possui?,"Parcerias: Atualmente, a Velotax possui integração apenas com a Warren (ativos no exterior) e com a Mynt (criptomoedas). Outras corretoras não estão integradas à plataforma.","Mynt, Warren, corretoras, criptomoedas, integração, parceiras, possui, veloprime",,,"Mynt, Warren, criptomoedas, integração, mynt, warren",,,
Trabalhamos com mercado forex?,"Compatibilidade: Nosso serviço para ativos no exterior é compatível apenas com a corretora Warren. Operações em outras corretoras, FOREX ou derivativos internacionais não são suportadas. Warren: Para clientes com ativos na Warren, oferecemos cálculos completos, relatórios e emissão de DARFs conforme o plano contratado.","DARF, Warren, derivativos, forex, mercado, relatórios, trabalhamos",,,"DARF, Warren, darf, derivativos, relatórios, warren",,,
O que são Informes de Rendimento?,"Definição: Documentos fornecidos por bancos e corretoras no fim do ano, detalhando rendimentos, dividendos e posições em 31/12. Servem como base oficial para o IR. Veloprime: Nos planos Premium e Concierge, são fornecidos em PDF já organizados.","Concierge, PDF, Premium, dividendos, informes, rendimento",,,"Concierge, IR, PDF, Premium, concierge, dividendos, pdf, premium",,,
